#,"Country","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
,World,"136,641,901",#ERROR!,"2,949,409",248,"109,881,553","23,810,939","103,437","17,530",378.4,,,
1,United States,"31,918,591",,"575,829",,"24,480,522","6,862,240","9,172","95,993","1,732","419,387,284","1,261,274","332,510,877"
2,India,"13,527,717",#ERROR!,"170,209",,"12,156,529","1,200,979","8,944","9,728",122,"257,806,986","185,402","1,390,530,992"
3,Brazil,"13,482,543",,"353,293",,"11,880,803","1,248,447","8,318","63,081","1,653","28,600,000","133,812","213,732,948"
4,France,"5,058,680",,"98,750",,"309,787","4,650,143","5,838","77,367","1,510","69,627,924","1,064,877","65,385,892"
5,Russia,"4,641,390",,"102,986",,"4,265,509","272,895","2,300","31,794",705,"123,700,000","847,358","145,983,181"
6,United Kingdom,"4,369,775",,"127,087",,"3,972,029","270,659",406,"64,108","1,864","134,289,127","1,970,113","68,163,171"
7,Turkey,"3,849,011",,"33,939",,"3,331,411","483,661","2,824","45,260",399,"41,591,854","489,069","85,042,925"
8,Italy,"3,769,814",,"114,254",,"3,122,555","533,005","3,585","62,422","1,892","53,054,866","878,500","60,392,563"
9,Spain,"3,347,512",,"76,328",,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878"
10,Germany,"3,009,541",,"78,964",,"2,683,900","246,677","4,515","35,831",940,"51,559,277","613,857","83,992,315"
11,Poland,"2,574,631",,"58,421",,"2,171,301","344,909","3,459","68,086","1,545","12,912,603","341,474","37,814,322"
12,Colombia,"2,536,198",,"65,889",,"2,383,785","86,524","3,079","49,435","1,284","13,314,269","259,520","51,303,536"
13,Argentina,"2,532,562",,"57,779",,"2,233,140","241,643","3,789","55,639","1,269","9,590,737","210,704","45,517,627"
14,Mexico,"2,280,213",#ERROR!,"209,338",126,"1,809,921","260,954","4,798","17,542","1,610","6,273,107","48,261","129,983,471"
15,Iran,"2,070,141",,"64,490",,"1,710,974","294,677","4,392","24,405",760,"13,673,466","161,194","84,826,064"
16,Ukraine,"1,853,249",,"37,014",,"1,410,860","405,375",177,"42,575",850,"8,622,424","198,086","43,528,763"
17,Peru,"1,647,694",,"54,903",,"1,566,543","26,248","2,302","49,439","1,647","10,001,832","300,106","33,327,621"
18,Czech Republic,"1,580,189",,"27,808",,"1,449,052","103,329","1,220","147,345","2,593","14,308,617","1,334,206","10,724,441"
19,Indonesia,"1,566,995",,"42,530",,"1,414,507","109,958",,"5,682",154,"13,386,975","48,545","275,767,009"
20,South Africa,"1,558,458",,"53,322",,"1,483,296","21,840",546,"26,023",890,"10,138,936","169,298","59,888,210"
21,Netherlands,"1,350,665",,"16,771","215,716",N/A,"215,716",781,"78,690",977,"11,292,587","657,909","17,164,371"
22,Chile,"1,076,499",,"24,346",,"1,005,860","46,293","3,155","55,941","1,265","11,897,931","618,281","19,243,575"
23,Canada,"1,060,158",,"23,315",,"963,396","73,447",928,"27,900",614,"28,999,787","763,172","37,999,006"
