date,area,area_type,population,cases,deaths,total_tests,positive_tests,reported_cases,reported_deaths,reported_tests,ds
2021-04-24,Alameda,County,1685886.0,0.0,0.0,.,.,81.0,1.0,7720.0,2021-04-24
2021-04-23,Alameda,County,1685886.0,2.0,0.0,115.0,3.0,106.0,3.0,11251.0,2021-04-23
2021-04-22,Alameda,County,1685886.0,14.0,0.0,2967.0,19.0,67.0,4.0,8129.0,2021-04-22
2021-04-21,Alameda,County,1685886.0,84.0,0.0,7397.0,94.0,110.0,1.0,20804.0,2021-04-21
2021-04-20,Alameda,County,1685886.0,125.0,1.0,9974.0,151.0,69.0,1.0,6553.0,2021-04-20
2021-04-19,Alameda,County,1685886.0,99.0,1.0,12638.0,111.0,102.0,0.0,5570.0,2021-04-19
2021-04-18,Alameda,County,1685886.0,35.0,0.0,3002.0,37.0,114.0,0.0,7912.0,2021-04-18
2021-04-17,Alameda,County,1685886.0,59.0,1.0,3462.0,69.0,124.0,2.0,10656.0,2021-04-17
2021-04-16,Alameda,County,1685886.0,114.0,0.0,8452.0,148.0,154.0,-1.0,10152.0,2021-04-16
2021-04-15,Alameda,County,1685886.0,94.0,1.0,9416.0,132.0,80.0,-1.0,9252.0,2021-04-15
2021-04-14,Alameda,County,1685886.0,91.0,1.0,10392.0,130.0,88.0,8.0,6959.0,2021-04-14
2021-04-13,Alameda,County,1685886.0,84.0,0.0,11949.0,141.0,104.0,1.0,7178.0,2021-04-13
2021-04-12,Alameda,County,1685886.0,101.0,0.0,13915.0,137.0,61.0,0.0,4336.0,2021-04-12
2021-04-11,Alameda,County,1685886.0,49.0,0.0,2779.0,62.0,130.0,0.0,8794.0,2021-04-11
2021-04-10,Alameda,County,1685886.0,58.0,0.0,3751.0,73.0,222.0,1.0,10910.0,2021-04-10
2021-04-09,Alameda,County,1685886.0,95.0,0.0,8311.0,120.0,191.0,5.0,11953.0,2021-04-09
2021-04-08,Alameda,County,1685886.0,70.0,0.0,8703.0,102.0,83.0,8.0,13783.0,2021-04-08
2021-04-07,Alameda,County,1685886.0,97.0,0.0,9632.0,126.0,39.0,1.0,6383.0,2021-04-07
2021-04-06,Alameda,County,1685886.0,107.0,1.0,11079.0,124.0,84.0,4.0,8444.0,2021-04-06
2021-04-05,Alameda,County,1685886.0,105.0,0.0,12608.0,135.0,56.0,0.0,4238.0,2021-04-05
2021-04-04,Alameda,County,1685886.0,64.0,1.0,2549.0,32.0,90.0,1.0,7357.0,2021-04-04
2021-04-03,Alameda,County,1685886.0,67.0,0.0,3820.0,72.0,85.0,1.0,7029.0,2021-04-03
