"CTYNAME","pop2021","GrowthRate"
"Los Angeles County","9969510","1.4889"
"San Diego County","3347270","7.8648"
"Orange County","3175130","5.3052"
"Riverside County","2520060","14.4660"
"San Bernardino County","2206750","8.1290"
"Santa Clara County","1918880","7.4377"
"Alameda County","1680480","11.0701"
"Sacramento County","1578680","11.0667"
"Contra Costa County","1159540","10.1659"
"Fresno County","1013400","8.7294"
"Kern County","913090","8.5725"
"San Francisco County","883255","9.6523"
"Ventura County","841734","2.0164"
"San Joaquin County","781462","13.7289"
"San Mateo County","762357","5.9272"
"Stanislaus County","555728","7.8780"
"Sonoma County","485722","0.1995"
"Tulare County","469407","5.9684"
"Solano County","451479","9.0616"
"Santa Barbara County","447937","5.5880"
"Monterey County","434283","4.3014"
"Placer County","410327","17.2293"
"Merced County","284738","10.9134"
"San Luis Obispo County","282625","4.7527"
"Santa Cruz County","271957","3.3479"
"Marin County","257154","1.6805"
"Yolo County","221264","10.0416"
"El Dorado County","197037","8.7785"
"Butte County","196880","-10.4883"
"Shasta County","180822","2.0014"
"Imperial County","180599","3.3672"
"Madera County","158217","4.7892"
"Kings County","156056","2.4191"
"Napa County","135654","-0.8080"
"Humboldt County","134186","-0.6096"
"Nevada County","100249","1.4769"
"Sutter County","98217","3.6580"
"Mendocino County","85445","-2.6811"
"Yuba County","80890","11.8068"
"Tehama County","67216","5.7537"
"San Benito County","65490","17.9660"
"Lake County","64524","-0.3259"
"Tuolumne County","54660","-0.9603"
"Calaveras County","46319","1.8716"
"Siskiyou County","43517","-3.1621"
"Amador County","40446","6.7571"
"Lassen County","30483","-12.4831"
"Glenn County","29245","3.9748"
"Del Norte County","27956","-2.1354"
"Colusa County","21805","1.7167"
"Plumas County","18939","-4.8961"
"Inyo County","18225","-1.5450"
"Mariposa County","16799","-8.0867"
"Mono County","14526","1.8868"
"Trinity County","11721","-14.7874"
"Modoc County","8923","-7.9534"
"Sierra County","3021","-6.1801"
"Alpine County","1209","4.1344"
