Country,"Active
Cases","Tot Cases/
1M pop","Deaths/
1M pop",Population,US$,People_partially_vaccinated,People_fully_vaccinated,2020
World,"23,810,939","17,530",378.4,.,.,487410659.0,194807398.0,.
United States,"6,862,240","95,993","1,732","332,510,877","68,309",129494179.0,74621644.0,"20,932.75"
India,"1,200,979","9,728",122,"1,390,530,992","2,191",104408484.0,15529157.0,"2,708.77"
Brazil,"1,248,447","63,081","1,653","213,732,948","7,011",24809790.0,8000733.0,"1,434.08"
France,"4,650,143","77,367","1,510","65,385,892","44,995",11982970.0,4269590.0,"2,598.91"
Russia,"272,895","31,794",705,"145,983,181","11,654",9731470.0,5738147.0,"1,473.58"
United Kingdom,"270,659","64,108","1,864","68,163,171","46,344",32574221.0,8931547.0,"2,710.97"
Turkey,"483,661","45,260",399,"85,042,925","9,327",12038403.0,7773371.0,719.537
Italy,"533,005","62,422","1,892","60,392,563","34,997",10311621.0,4332143.0,"1,884.94"
Spain,"175,262","71,576","1,632","46,768,878","30,996",9002054.0,3328701.0,"1,278.21"
Germany,"246,677","35,831",940,"83,992,315","51,860",15906352.0,5425990.0,"3,803.01"
Poland,"344,909","68,086","1,545","37,814,322","16,930",6236689.0,2248126.0,594.18
Colombia,"86,524","49,435","1,284","51,303,536","5,753",2340554.0,1009672.0,271.463
Argentina,"241,643","55,639","1,269","45,517,627","9,122",5305604.0,787412.0,388.279
Mexico,"260,954","17,542","1,610","129,983,471","9,246",10134800.0,3286908.0,"1,076.16"
Iran,"294,677","24,405",760,"84,826,064","8,034",361951.0,100691.0,635.724
Ukraine,"405,375","42,575",850,"43,528,763","3,984",445859.0,5.0,151.543
Peru,"26,248","49,439","1,647","33,327,621","6,678",676387.0,492795.0,203.772
Czech Republic,"103,329","147,345","2,593","10,724,441","25,732",1575629.0,847356.0,241.455
Indonesia,"109,958","5,682",154,"275,767,009","4,256",10781266.0,5717460.0,"1,059.64"
South Africa,"21,840","26,023",890,"59,888,210","5,444",292623.0,292623.0,302.114
Netherlands,"215,716","78,690",977,"17,164,371","58,003",2957777.0,826135.0,909.503
Chile,"46,293","55,941","1,265","19,243,575","15,617",7664226.0,5270056.0,252.756
Canada,"73,447","27,900",614,"37,999,006","49,222",8641720.0,884012.0,"1,643.41"
Romania,"74,373","52,576","1,313","19,137,541","14,968",2471779.0,1527201.0,247.214
Iraq,"95,380","22,604",360,"40,919,097","4,632",152962.0,0.0,172.119
Belgium,"839,627","79,328","2,015","11,628,838","50,103",2204943.0,696692.0,513.087
Philippines,"146,519","7,812",135,"110,711,091","3,646",1093651.0,162065.0,362.243
Sweden,"155,963","84,488","1,342","10,148,191","58,977",1667542.0,649361.0,537.61
Israel,"3,432","90,886",685,"9,197,590","47,602",5341887.0,4965696.0,402.639
Portugal,"25,960","81,338","1,663","10,173,535","25,065",1772322.0,657164.0,231.348
Pakistan,"75,266","3,236",69,"224,206,949","1,260",1114000.0,0.0,262.799
Hungary,"270,353","74,696","2,429","9,641,234","18,075",3090994.0,1325587.0,154.562
Bangladesh,"98,427","4,126",59,"165,962,319","2,122",5686885.0,930151.0,329.12
Jordan,"61,669","64,749",756,"10,281,719","4,358",543095.0,122131.0,43.481
Serbia,"80,801","73,733",658,"8,709,929","8,748",1820747.0,1220993.0,52.96
Switzerland,"49,524","70,951","1,201","8,703,776","94,696",1228368.0,729842.0,747.427
Austria,"31,522","63,784","1,071","9,046,331","53,859",1658035.0,676423.0,428.622
Japan,"30,296","3,990",74,"126,174,664","42,928",1175324.0,678405.0,"5,048.69"
Morocco,"4,841","13,479",239,"37,249,722","3,415",4583664.0,4180155.0,113.548
Lebanon,"88,013","73,048",979,"6,801,609","2,802",199999.0,122648.0,19.126
United Arab Emirates,"13,760","48,457",153,"9,983,033","35,171",3480415.0,2187849.0,354.279
Saudi Arabia,"8,360","11,308",192,"35,233,544","22,700",0.0,0.0,701.467
Bulgaria,"71,317","53,853","2,087","6,907,614","11,321",507245.0,126884.0,68.561
Slovakia,"105,197","67,939","1,934","5,461,701","21,529",925101.0,344204.0,104.088
Malaysia,"15,574","11,040",41,"32,687,354","11,604",687176.0,438220.0,338.276
Panama,"4,217","82,112","1,411","4,367,339","13,690",354009.0,175008.0,52.938
Ecuador,"39,210","19,429",969,"17,850,462","5,665",338180.0,146952.0,96.665
Belarus,"7,197","35,571",249,"9,446,902","6,487",92000.0,26100.0,60.201
Greece,"35,351","28,457",856,"10,383,345","19,673",1671324.0,768886.0,189.259
